Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2022,"12        ",Male,17,Right-Handed,182,,,1,Bus,25,.35,41,Basketball,800,550,700,500,600,1000,,"Same length",,,"Ring finger",September,Winter,No,No,Meat,Water,"Physical education",5,7,5,"Yes - broadband connection","Text messaging",200,350,8,4,2,4,4,10,6,4,6,1,6,2,Some,Other,"Rap/Hip hop",Invisibility,Happy,"Sports person",Environment
USA,TX,2014,"12        ",Male,17,Right-Handed,166.5,25.5,171.5,2,Car,10,.456,47,Dancing,588,497,690,829,1000,1000,25,"Right foot",90,95,"Ring finger",September,Winter,No,No,Pizza/Pasta,Water,Art,6,4,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",60,60,36,6,3,8,3,10,10,5,60,4,3,3,Some,"Some college",Reggae,Fly,Rich,Relative,"Arts, culture, sports"
USA,TX,2019,"12        ",Male,17,Right-Handed,168,27,168,2,Car,30,.314,69,Soccer,529,519,251,321,572,872,27,"Left foot",76,76,"Ring finger",July,Summer,No,No,Meat,Water,"Physical education",8,9,4,"Yes - broadband connection",,9,9,4,0,2,8,5,14,35,3,2,28,0,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
USA,TX,2023,"12        ",Female,17,Right-Handed,162,22.5,152,2,Bus,15,0.451,43,Soccer,583,588,856,497,476,1000,23,"Left foot",70,75,"Ring finger",June,Fall,No,Yes,Poultry,Water,Other,7,7,5,"Yes - other","Internet chat or instant messaging",77,80,75,4,10,10,2,0,23,5,30,1,0,7,Some,"Graduate degree",Pop,Telepathy,Healthy,Relative,"International aid"
USA,TX,2022,"12        ",Female,16,Left-Handed,160,23,173,2,Car,10,0.71,45,Basketball,800,959,700,800,400,1000,23,"Same length",75,72,"Index finger",May,Winter,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,4,6,"Yes - broadband connection","Text messaging",53,70,12,"0 ",6,25,7,2,18,20,48,14,32,5,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Healthy,Relative,Health
USA,TX,2020,"12        ",Female,17,Right-Handed,174,25,177,2,Car,3,0.408,37,Basketball,947,843,1000,1000,460,542,25,"Same length",89,89,"Same length",March,Summer,No,No,Pizza/Pasta,Water,History,7,9,4,"Yes - broadband connection","In person",5,8,2,4,18,10,7,0,3,2,5,9,0,6,"A lot","Graduate degree",Country,Telepathy,Happy,Relative,Health
USA,TX,2021,"12        ",Male,17,Right-Handed,177.8,27.15,83.5,1,Car,5,.2,5,Bowling,1,1,1,1,1,1,27.6,"Same length",19.5,20.2,"Ring finger",January,Summer,Yes,No,Poultry,"Soft drink (caffeinated)","Physical education",7,9,4,"Yes - broadband connection","Text messaging",Alot,Alot,5,3,5,1,1,0,9,9,0,0,27,1,Some,"Some college","Rap/Hip hop",Fly,Happy,"Business person",Health
USA,TX,2022,"12        ",Female,18,Right-Handed,,,,1,Bus,10,.341,46,Other,900,850,950,750,999,1000,,,,,,November,Fall,No,No,Poultry,Water,"Social studies",6,4,8,"Yes - broadband connection","Text messaging",20,40,10,7,2,0,0,0,2,4,60,2,0,0,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,"Doctor or nurse",Health
USA,TX,2016,"12        ",Male,18,Right-Handed,180,28,182,1,Bus,25,.343,39,Running/Jogging,800,800,1000,900,600,900,28,"Same length",76,90,"Ring finger",August,Summer,No,No,Meat,Water,Science,7,9,3,"Yes - broadband connection","In person",100,100,5,0,1,5,10,8,5,3,10,6,20,10,Some,"Undergraduate degree","Punk rock","Super strength",Happy,Politician,"Wildlife, animals"
USA,TX,2019,"10        ",Female,13,Right-Handed,154.9,26,162,1,Car,15,0.411,29,None,503,503,503,503,503,503,26,"Same length",70,72,"Ring finger",August,Winter,No,No,"No favorite",Water,Other,7,5,4,"Yes - other","Text messaging",12,2,0,0,0,0,0,0,0,0,0,0,0,0,"Very little","Graduate degree",Other,Invisibility,Rich,Other,"Wildlife, animals"
USA,TX,2016,"12        ",Female,17,Right-Handed,158,16,100,2,Bus,10,0.594,79,Basketball,0,100,1000,1000,0,100,9,"Same length",30,35,"Ring finger",May,Fall,Yes,No,"Rice/Noodle dishes",Tea,English,6,8,5,"Yes - dial-up connection","Text messaging",50,60,5,5,3,10,10,1,10,20,10,5,20,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,TX,2016,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2016,"12        ",Male,18,Right-Handed,187,26,184,1,Car,13,.679,64,"Hockey (Ice)",900,1000,830,950,845,1000,26,"Same length",80,80,"Same length",March,Winter,No,No,Meat,"Sports drink",History,8,10,6,"Yes - broadband connection","Text messaging",10,8,0,0,12,6,2,5,16,5,6,14,3,3,Some,"Some college","Rap/Hip hop","Super strength",Happy,"Musician or singer","International aid"
