Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,PA,2012,12,Male,17.0,Right-Handed,192,33,192,1.0,Car,10,.55,.54,Tennis,100.0,100.0,100.0,100.0,1000.0,1000.0,32,Right foot,108,110,Ring finger,February,Summer,Yes,No,Poultry,Soft drink (caffeinated),Languages,7,10,5.0,Yes - other,In person,42,47,20,5.0,20.0,20,20,20,20.0,20.0,20.0,20.0,5,5.0,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,International aid
USA,PA,2019,6,Male,12.0,Right-Handed,145,21,144,1.0,Bus,5,0.643,45,Other,500.0,300.0,100.0,200.0,0.0,0.0,21,Same length,75,60,Index finger,August,Summer,No,No,Seafood,Water,Computers and technology,7,7,7.0,Yes - other,,0,0,5,0.0,1.0,10,7,14,5.0,0.0,1.0,6.0,2,2.0,Very little,High school,Rap/Hip hop,Telepathy,Famous,Actor,"Wildlife, animals"
USA,PA,2013,12,Female,17.0,Right-Handed,166,23,155,2.0,Car,15,0.933,42,Bowling,1000.0,900.0,800.0,900.0,900.0,800.0,23,Same length,75,81,Ring finger,July,Spring,No,No,Pizza/Pasta,Water,History,6,11,4.0,Yes - broadband connection,In person,2,3,20,3.0,18.0,20,1,1,15.0,1.0,20.0,3.0,0,8.0,A lot,Graduate degree,Jazz,Freeze time,Happy,Relative,International aid
USA,PA,2015,12,Male,15.0,Right-Handed,,,,,Bus,20,0.332,62,Baseball/Softball,1000.0,588.0,166.0,433.0,743.0,840.0,,Right foot,,,Index finger,September,Fall,Yes,No,Meat,Water,Science,6,10,4.0,Yes - broadband connection,Text messaging,40,40,6,3.0,2.0,4,15,10,1.0,7.0,5.0,1.0,8,3.0,Very little,Other,Punk rock,Freeze time,Happy,Teacher,Health
USA,PA,2016,10,Female,16.0,Right-Handed,67.2,,,,,10,0.388,40,,,,,,,,,,85,78,,,,,,,,,8,9,5.0,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2019,12,Female,16.0,Right-Handed,170,24,165.5,1.0,Car,6,.293,37,Soccer,900.0,800.0,800.0,600.0,1000.0,1000.0,24,Same length,74,81,Index finger,February,Fall,No,No,Meat,Water,Mathematics and statistics,6.5,8,5.0,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,100,5,1.0,20.0,5,10,0,30.0,4.0,1.0,1.0,0,4.0,A lot,Graduate degree,Rap/Hip hop,Fly,Healthy,Relative,International aid
USA,PA,2012,12,Female,18.0,Right-Handed,173.9,24.6,67.6,2.0,Car,5,.342,33,Lacrosse,700.0,800.0,500.0,700.0,1000.0,1000.0,24.6,Same length,95,99,Ring finger,September,Fall,Yes,No,Seafood,Water,History,7,10,4.0,Yes - broadband connection,In person,25,25,7,1.0,10.0,5,9.5,0,4.0,2.5,14.0,5.0,5,3.0,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,PA,2015,11,Male,16.0,Left-Handed,170,10,68,2.0,Bus,5,5,60,Football (American),1.0,2.0,4.0,3.0,6.0,5.0,10,Same length,6,8,Ring finger,April,Summer,No,No,Meat,Soft drink (caffeinated),Mathematics and statistics,7,5,4.0,Yes - other,Text messaging,40,40,2,1.0,3.0,1,1,3,4.0,3.0,3.0,2.0,2,2.0,Very little,,Rap/Hip hop,Super strength,Rich,Actor,Environment
USA,PA,2013,10,Male,15.0,Right-Handed,180,28,184,2.0,Bus,30,.251,38,Athletics,492.0,492.0,529.0,684.0,155.0,155.0,28,Same length,80,100,Ring finger,January,Summer,Yes,No,Fruit,Water,Science,7.5,9,3.0,Yes - broadband connection,Text messaging,25,15,1,0.0,5.0,10,1,1,10.0,24.0,10.0,3.0,0,2.0,Some,Graduate degree,Other,Telepathy,Happy,Musician or singer,Other
USA,PA,2012,12,Female,16.0,Ambidextrous,157.5,22.5,29,1.0,Car,30,0.592,31,Swimming,1000.0,1000.0,1000.0,1000.0,50.0,1000.0,22.5,Same length,71,75,Ring finger,,Winter,Yes,No,Seafood,Juice,Music,8,10,2.0,Yes - other,Text messaging,74,72,1,0.0,1.0,2,4,2,2.0,5.0,3.0,1.0,0,2.0,None,Graduate degree,Other,Freeze time,Happy,Relative,"Wildlife, animals"
