Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2022,"4         ",Male,17,,182,28,183,1,Car,10,.9,2,"Football (American)",800,700,400,500,800,900,29,"Same length",9.5,10.5,"Ring finger",September,Spring,No,No,Meat,Milk,History,8,7,5,"Yes - broadband connection","In person",4,10,10,1,10,10,10,10,2,2,2,2,8,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Actor,"International aid"
USA,CA,2017,"11        ",Female,17,Right-Handed,170.7,"25 ",165,2,Car,30,5,44,Walking/Hiking,500,200,700,800,800,1000,26,"Left foot",90,89,"Index finger",April,Winter,No,No,Desserts,Water,Languages,6,8,4,"Yes - other","In person",5,7,5,0,15,5,10,0,0,2,10,2,0,2,"A lot","Graduate degree",Pop,Fly,Happy,"Community leader or elder","Education/Youth development"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2013,"12        ",Female,17,Right-Handed,162.5,20.32,154,1,Car,2,.425,48,Tennis,90,95,95,80,100,100,20.30,"Right foot",89,82,"Index finger",April,Spring,No,No,Pizza/Pasta,Water,English,6,9,7,"Yes - broadband connection",E-mail,0,0,3,0,10,5,10,0,5,2,10,2,0,7,Some,"Graduate degree",Pop,Invisibility,Happy,"Community leader or elder",Health
USA,CA,2021,"12        ",Female,17,Right-Handed,149.8,22.86,172.7,2,Car,15,.609,42,Tennis,400,500,600,200,500,900,20.32,"Right foot",76.2,63.5,"Index finger",June,Winter,No,No,Pizza/Pasta,Juice,Languages,6,8,7,"Yes - broadband connection","Text messaging",40,40,0,1,2,2,3,0,4,2,0,0,0,1,Some,"Undergraduate degree",Pop,"Super strength",Rich,"Coach or club leader","International aid"
USA,CA,2012,"12        ",Female,17,Right-Handed,167,22.5,153,2,Car,5,.346,35,Dancing,200,1000,900,900,1000,900,22.5,"Same length",102,62,"Index finger",April,Summer,No,No,Pizza/Pasta,Water,Languages,7.5,9,3,"Yes - broadband connection","In person",100,110,100,1,10,21,7,1,7,6,5,5,8,3,Some,"Graduate degree",Pop,Fly,Happy,Actor,"International aid"
USA,CA,2019,"12        ",Female,16,Right-Handed,156,24,142,2,Car,10,.461,42,Baseball/Softball,1000,970,950,600,150,370,24,"Same length",80,70,"Index finger",September,Fall,No,No,Desserts,Tea,English,6,8,6,"Yes - broadband connection","Text messaging",58,46,10,2,20,30,5,0,15,40,20,0,0,4,Some,"Graduate degree",Reggae,Invisibility,Happy,Relative,"Wildlife, animals"
USA,CA,2018,"8         ",Male,14,Right-Handed,163,24,177,1,Car,20,0.395,87,"Martial Arts",100,100,100,100,100,100,24,"Same length",101,101,"Same length",March,Fall,No,No,Other,Water,"Physical education",8,10,3,"Yes - broadband connection","Internet chat or instant messaging",1,1,5,1,3,2,5,5,5,1,5,1,0,0,Some,Other,"Punk rock","Super strength",Rich,Friend,Other
USA,CA,2019,"12        ",Female,16,Right-Handed,158,19.5,173,1,Car,22,.874,69,Running/Jogging,1000,1000,1000,1000,400,500,19.4,"Right foot",6.3,6.3,"Same length",October,Fall,No,Yes,Vegetables,Water,"Mathematics and statistics",8,9,4,"Yes - broadband connection","In person",5,12,15,0,10,5,15,0,0,1,20,15,5,5,"A lot","Undergraduate degree","Rock and roll",Telepathy,Happy,Politician,"Wildlife, animals"
USA,CA,2018,"8         ",Male,34,Right-Handed,192,29,190,1,Car,25,.342,57,Soccer,500,500,500,600,900,900,29,"Same length",84,84,"Same length",August,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7.5,8,3,,"Text messaging",45,40,1,0,12,25,1,2,1,1,7,4,50,10,Some,"Graduate degree","Rock and roll",Fly,Happy,"Religious figure",Religious
USA,CA,2015,"6         ",Female,11,Left-Handed,65,27,63,2,Car,30,0.358,38,Soccer,900,800,1000,1000,300,500,26,"Same length",70,80,"Index finger",May,Winter,Yes,No,Desserts,Water,Art,8,9,4,"Yes - other","In person",0,0,3,0,7,0,10,1,0,0,5,0,0,3,"Very little","Graduate degree",Country,Telepathy,Happy,Relative,Health
USA,CA,2020,"12        ",Female,17,Right-Handed,160,21,170,2,Car,"7 ",0.389,52,Gymnastics,1000,1000,1000,1000,5000,5000,20,"Right foot",.9,.85,"Ring finger",October,Summer,No,No,"Rice/Noodle dishes",Water,History,8,4,5,"Yes - broadband connection","Text messaging",20,10,0,2,2,1,0,1,5,1,4,1,8,3,"Very little","Undergraduate degree",Pop,Invisibility,Happy,Actor,Health
USA,CA,2010,"12        ",Male,17,Right-Handed,195,27,192,2,Car,9,.332,,Running/Jogging,936,701,620,,385,225,28,"Same length",85,88,"Ring finger",February,Winter,No,No,"Rice/Noodle dishes",Water,Science,7,8,4,"Yes - broadband connection","In person",0,0,3,.5,45,3,10,2,6,0,10,1,0,5,"A lot","Graduate degree",Other,Fly,Healthy,Friend,"Wildlife, animals"
USA,CA,2018,"12        ",Female,16,Right-Handed,153,22,153,2,Car,15," 0.51",35,Walking/Hiking,1000,650,550,600,700,1000,22,"Same length",48,46,"Index finger",November,Fall,No,Yes,Fruit,Water,English,3,7,2,"Yes - broadband connection","Internet chat or instant messaging",100,500,15,0,22,1,0,0,2,20,30,6,0,10,"A lot","Graduate degree",Other,"Freeze time",Happy,Friend,Environment
USA,CA,2023,"9         ",Female,14,Right-Handed,162,27,152,2,Car,5,0.273,36,Tennis,342,225,754,717,251,766,27,"Same length",7,7,"Same length",September,Winter,No,No,"Rice/Noodle dishes",Juice,Other,8,11,6,"Yes - other","Cell phone",200,200,78,121,8,138,10,0,112,96,138,100,15,168,Some,"Graduate degree",Other,Invisibility,Rich,Relative,"International aid"
USA,CA,2023,"12        ",Male,18,Right-Handed,172,125,174.5,1,Car,30,,56,Soccer,1000,1000,1000,1000,1000,1000,125,"Same length",11.8,13,"Ring finger",October,Winter,No,No,Meat,"Soft drink (non-caffeinated)","Computers and technology",8.46,6,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,5,,,,,,,,,,,,,"Very little","Undergraduate degree","Rap/Hip hop",Telepathy,Healthy,Actor,Health
USA,CA,2015,"12        ",Female,16,Left-Handed,157,,,2,Car,14,,,Other,,,,,,,,,67,65,"Index finger",December,Winter,No,No,Fruit,Water,Art,6,4,6,"Yes - other",,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,"12        ",Female,16,Right-Handed,152.4,25,61,2,Bus,45,0.571,40,Basketball,1000,500,1000,1000,1000,1000,26,"Right foot",75,75,"Same length",December,Winter,Yes,No,Meat,Water,English,"8 ",7,2,"Yes - broadband connection","Text messaging",30,30,20,,,,,,,,,,,,,,,,,,
USA,CA,2019,"12        ",Female,17,Right-Handed,165,26,172,5,Car,8,0.301,30,Dancing,950,950,950,950,950,950,25,"Right foot",73,75,"Ring finger",January,Winter,No,No,"Rice/Noodle dishes",Coffee,History,5,7,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,303,3,,,,,,,,,,,,,,,,,,
USA,CA,2011,"7         ",Female,12,Right-Handed,160,21.6,157,1,Car,5,0.11,37,"Hockey (Ice)",990,800,1000,,10,20,21.6,"Same length",12,12,"Same length",September,Winter,No,No,Desserts,,Other,9,8,4,"Yes - broadband connection","In person",0,0,36,2,7,24,6,1,0,0,2,9,0,1,Some,"Graduate degree","Punk rock",Fly,Happy,"Sports person",Health
USA,CA,2020,"12        ",Female,17,Right-Handed,"5'6""",9,"70cm ",2,Car,25min,0.72,54,Soccer,100,300,800,900,0,1000,25,"Left foot",7,9,"Ring finger",February,Summer,No,No,Pizza/Pasta,Water,Art,"7 ",5,,,"Myspace, Facebook, other social networking sites, or blog",9,4,2,2,2,0,0,0,24/7,5,0,1,24/7,2,Some,"High school","Rap/Hip hop",Invisibility,Healthy,"Business person",Health
USA,CA,2016,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,"11        ",Male,18,Right-Handed,167.5,25,160,1,Walk,20,.61,46,Basketball,1000,900,500,350,200,100,23.75,"Right foot",65,65,"Same length",October,Summer,No,No,Meat,"Soft drink (caffeinated)","Computers and technology",7,9,5,"Yes - broadband connection","In person",20,21,15,1,0,5,1,30,1,20,20,5,0,10,None,"Graduate degree","Rock and roll",Fly,Happy,"Musician or singer","International aid"
USA,CA,2017,"12        ",Female,17,Right-Handed,170.2,24,163,2,Car,10,.445,34,Walking/Hiking,1000,1000,1000,1000,750,900,24,"Same length",75,70,"Index finger",August,Winter,Yes,No,Pizza/Pasta,Juice,Languages,4.5,4.5,6,"Yes - other","Cell phone",2,1,14,.5,15,0,0,0,27,5,84,1,0,10,"A lot","Graduate degree",Other,Fly,Healthy,"Musician or singer","Wildlife, animals"
USA,CA,2022,"11        ",Female,17,Right-Handed,156,23,152,2,Walk,10,0.452,38,Other,1000,1000,1000,1000,900,800,23,"Same length",70,75,"Ring finger",May,Spring,Yes,No,Meat,Water,History,8,6,3,"Yes - other","In person",20,`25,10,2,4,6,1,0,1,2,20,2,0,1,"Very little","Graduate degree",Pop,"Freeze time",Happy,Relative,Environment
USA,CA,2012,"12        ",Female,17,Right-Handed,165,23,165,2,Car,10,.73,134,Dancing,1000,50,900,900,1000,1000,25,"Left foot",60,60,"Same length",October,Summer,Yes,No,Fruit,Milk,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",100,98,1,3,,,,,,,,,,,,,,,,,
USA,CA,2015,"6         ",Female,11,Ambidextrous,157,21,,1,Car,6,1.272,63,Baseball/Softball,100,600,1000,500,800,700,20,"Right foot",20,17,"Index finger",April,Summer,Yes,No,Pizza/Pasta,Juice,Music,7,10,5,"Yes - broadband connection","Cell phone",0,0,3,0,,,,,,,,,,,,,,,,,
